id,uuid,title,lat,lon,country_code,city,state,postcode,operator,num_connections,num_points,max_power_kw,speed_category,is_operational,date_created,date_last_verified,usage_cost,is_free,year_created
480688,C0F4FA51-E665-4493-96C0-C82F11C2F222,Wirelane AC Charger,51.366373,7.493012000000021,DE,Hagen,Nordrhein-Westfalen,58095,,1,2,,Unknown,,2026-03-28 10:06:00+00:00,2026-03-31 10:08:00+00:00,"0,50 EUR",False,2026
480504,DB673A21-1290-48C6-A19B-25F5C1D58F6F,Wirelane,47.967068037044925,7.829705507471772,DE,Merzhausen,Baden-Württemberg,79249,,1,1,11.0,Slow (<22 kW),,2026-03-18 11:25:00+00:00,2026-03-21 11:28:00+00:00,,False,2026
480134,B120208D-2CCE-459E-9F51-578F42D4E830,Greimerather Forst Ladestation,49.56294330886689,6.683409472641529,DE,Greimerath ,Rheinland-Pfalz,54314,,1,2,11.0,Slow (<22 kW),,2026-03-12 03:44:00+00:00,2026-03-15 03:47:00+00:00,"0,49€",False,2026
479861,9FFE0793-7C28-4D88-B2E5-23B395F0A4C7,Kaufland Ladestation,49.45464669077512,8.665175632424962,DE,Dossenheim,,69221,,2,3,60.0,Fast (50-99 kW),,2026-03-07 15:33:00+00:00,2026-03-10 15:34:00+00:00,,False,2026
479656,A252F316-D71C-407A-836C-C4872E912D60,Hohenzollernstraße 5,48.645833726332086,9.011656861883123,DE,Landkreis Böblingen,Landkreis Böblingen,71088,,1,1,150.0,Ultra-Fast (>=100 kW),,2026-03-02 09:40:00+00:00,2026-03-05 09:52:00+00:00,,False,2026
479655,ABC08BF5-8CD6-475F-A810-C60A8BF149C7,Tübinger Straße 107,48.63135730443577,9.017013873672228,DE,Landkreis Böblingen,Landkreis Böblingen,71088,,1,1,22.0,Medium (22-49 kW),,2026-03-02 09:33:00+00:00,2026-03-05 09:37:00+00:00,,False,2026
478921,ECF175A3-55C6-42C1-AD27-735C074ECDE2,Vöhrenbacher Straße 38,48.05824263086103,8.444356297770923,DE,Villingen-Schwenningen,Baden-Württemberg,78050,,2,9,300.0,Ultra-Fast (>=100 kW),,2026-02-25 21:33:00+00:00,2026-03-01 09:31:00+00:00,,False,2026
478803,12AF3C3B-7338-48AD-8765-3236A809CE5B,Autohaus Frascoia,48.597206650285045,8.11280231001183,DE,Kappelrodeck,,77876,,2,8,50.0,Fast (50-99 kW),,2026-02-24 07:39:00+00:00,2026-02-27 07:42:00+00:00,,False,2026
478763,72AE325E-4C6D-41DF-9310-4D8F1F0F4CFC,famila Parkplatz,52.99410152247072,8.819354218142962,DE,Weyhe,,28844,,4,4,50.0,Fast (50-99 kW),,2026-02-23 20:14:00+00:00,2026-02-26 20:15:00+00:00,"0,29 €",False,2026
478376,CE3D620B-1680-47D2-A530-6E646C07E883,EnBW,50.9978080716036,9.733945966671511,DE,Rotenburg an der Fulda,Hessen,36199 ,,1,4,150.0,Ultra-Fast (>=100 kW),,2026-02-18 07:42:00+00:00,2026-02-21 07:42:00+00:00,,False,2026
478193,2F78EA8C-D9B7-4B85-9C38-E349D179A591,Knoppermühlweg,48.06226137086327,12.226378795181516,DE,Wasserburg am Inn,Bayern,83512,,1,2,22.0,Medium (22-49 kW),,2026-02-16 08:52:00+00:00,2026-02-19 08:52:00+00:00,"0,49",False,2026
478116,1DC5AF71-87C1-4338-947D-56EA4106BF7F,Pützerstraße,50.14461929363861,8.611891040867818,DE,Frankfurt am Main,Hessen,60488,,2,2,,Unknown,,2026-02-14 09:15:00+00:00,2026-02-17 09:17:00+00:00,,False,2026
477295,71BFA493-D27C-45E0-A301-C041B05F603A,Hypercharger R-Werk,49.01401,12.11856,DE,Regensburg,Bayern,93055,,1,2,150.0,Ultra-Fast (>=100 kW),,2026-02-12 20:57:00+00:00,2026-02-15 21:01:00+00:00,,False,2026
475599,CE194D84-5285-40ED-AD09-F39CBAA214D4,Gasthof zum Hirschen,47.58165859387222,9.849894830748552,DE,Scheidegg,Bayern,88175,,1,3,22.0,Medium (22-49 kW),,2026-02-07 15:41:00+00:00,2026-02-10 15:44:00+00:00,,False,2026
475441,61E9F32E-443D-4CB2-9EE7-9E9BEE600C21,Bregenzer Straße,47.55263001940145,9.704260479508548,DE,Lindau (Bodensee),Bayern,88131,,5,9,,Unknown,,2026-02-03 16:12:00+00:00,2026-02-06 16:14:00+00:00,,False,2026
475326,2088B577-E2E0-4636-8790-8D793EE2080D,Arale Pulse,48.83898552676442,12.11882629077786,DE,Schierling,,84069,,2,9,300.0,Ultra-Fast (>=100 kW),,2026-02-01 13:27:00+00:00,2026-02-04 13:28:00+00:00,,False,2026
475137,C455C856-C89D-43A2-BB23-1B353E4446AD,LitchBlick,49.028236482569554,8.441456962979828,DE,Karlsruhe,Baden-Württemberg,76139,,1,4,22.0,Medium (22-49 kW),,2026-01-30 11:28:00+00:00,2026-02-02 11:33:00+00:00,,False,2026
475136,37A8D2FB-EB66-4218-A8AB-49E46A391B91,EnBW,49.02623880511706,8.445669838458628,DE,Karlsruhe,Baden-Württenberg,76131,,1,2,22.0,Medium (22-49 kW),,2026-01-30 11:25:00+00:00,2026-02-02 11:28:00+00:00,,False,2026
474885,A1B9B621-32D5-4FD4-A981-1606D93FEED0,Landal Sonnenberg ,49.80308233361646,6.891644947509462,DE,Leiwen,,,,1,4,22.0,Medium (22-49 kW),,2026-01-27 08:26:00+00:00,2026-01-30 08:27:00+00:00,,False,2026
474830,D37FAF34-AC98-4228-82E3-4BAF60D0D8F7,Polarstern Ladestation - sysTelios,49.5494181704124,8.817184050358833,DE,Wald-Michelbach,Hessen,69483,,1,4,11.0,Slow (<22 kW),,2026-01-26 09:10:00+00:00,2026-01-29 09:12:00+00:00,,False,2026
474829,AF144F88-FD4A-4ECB-9487-07AE2D5A857A,Polarstern Ladestation - Sport Conrad Wielenbach,47.86888714647122,11.163822564198426,DE,Wielenbach,Bayern,82407,,1,4,11.0,Slow (<22 kW),,2026-01-26 09:07:00+00:00,2026-01-29 09:07:00+00:00,,False,2026
474828,4F6BE1C4-EE76-4A25-AB65-0188A554B247,Polarstern Ladestation - Sport Conrad Penzberg,47.74902961820726,11.374922560927644,DE,Penzberg,Bayern,82377,,1,12,11.0,Slow (<22 kW),,2026-01-26 09:05:00+00:00,2026-02-03 13:08:00+00:00,,False,2026
474827,D97828F0-5C14-453E-AA9B-39173D12D057,Polarstern Ladestation - Hellmut Ruck,48.85425206219173,8.57996610990358,DE,Neuenbürg,Baden-Württemberg,75305,,1,2,11.0,Slow (<22 kW),,2026-01-26 09:02:00+00:00,2026-01-29 09:02:00+00:00,,False,2026
474826,1A56C799-4799-4D93-8A8D-9EDBFEE1E12A,Polarstern Ladestation - Neubrandenburg,53.52225440881324,13.265464269879658,DE,Neubrandenburg,Mecklenburg-Vorpommern,17033,,1,4,11.0,Slow (<22 kW),,2026-01-26 09:00:00+00:00,2026-01-29 09:02:00+00:00,,False,2026
474825,8FBFD0BD-3688-48DA-95CB-3A54D413A8D3,Polarstern Ladestation - Mammendorf,48.206917353899314,11.16278178550931,DE,Mammendorf,Bayern,82291,,1,4,11.0,Slow (<22 kW),,2026-01-26 08:56:00+00:00,2026-01-29 08:57:00+00:00,,False,2026
474822,2B76D78D-1392-4578-8E22-1DEC3102137D,Polarstern Ladestation - Am Alten Flughafen Gießen,50.59290527338933,8.719088415280112,DE,Gießen,Hessen,35394,,1,12,11.0,Slow (<22 kW),,2026-01-26 08:40:00+00:00,2026-01-29 08:42:00+00:00,,False,2026
474821,C50DF70D-FA8A-42D2-B5BE-269B648008CA,Polarstern Ladestation - ebl Fürth,49.482846970656,10.948729998645945,DE,Fürth,Bayern,90766,,1,2,200.0,Ultra-Fast (>=100 kW),,2026-01-26 08:36:00+00:00,2026-02-03 13:08:00+00:00,,False,2026
474820,0F9842CB-9AD5-4C7E-BDBE-948460829E53,Polarstern Ladestation - Harreshausen,49.96786707623701,8.979388718737596,DE,Harreshausen,Hessen,64832,,1,2,22.0,Medium (22-49 kW),,2026-01-26 08:34:00+00:00,2026-01-29 08:37:00+00:00,,False,2026
474818,A8176752-F366-4C16-B342-44874726CB7A,Polarstern Ladestation - Harreshausen,49.9674174337128,8.979096690167353,DE,Harreshausen,Hessen,64832,,1,2,22.0,Medium (22-49 kW),,2026-01-26 08:33:00+00:00,2026-02-03 13:18:00+00:00,,False,2026
474817,7E00288D-2B6B-4C88-BCE4-0B263DCDE659,Polarstern Ladestation - Harreshausen,49.96753416763971,8.979729571837993,DE,Harreshausen,Hessen,64832,,1,2,22.0,Medium (22-49 kW),,2026-01-26 08:31:00+00:00,2026-02-03 13:18:00+00:00,,False,2026
474816,2AF2E583-802F-44A1-B84C-DBD3D2597D6D,Polarstern Ladestation - Harreshausen,49.96709297445455,8.979481171058183,DE,Harreshausen,Hessen,64832,,1,2,22.0,Medium (22-49 kW),,2026-01-26 08:30:00+00:00,2026-02-03 13:13:00+00:00,,False,2026
474815,01FDE6B0-9EF5-4B6D-A331-5DBCE1F26E4F,Polarstern Ladestation - Harreshausen,49.96756076740121,8.978975223732277,DE,Harreshausen,Hessen,64832,,1,2,22.0,Medium (22-49 kW),,2026-01-26 08:28:00+00:00,2026-02-03 13:18:00+00:00,,False,2026
