id,title,lat,lon,city,state,postcode,operator,num_connections,num_points,max_power_kw,speed_category,is_operational,year_created,cluster,is_free,is_desert
480688,Wirelane AC Charger,51.366373,7.493012000000021,Hagen,Nordrhein-Westfalen,58095,,1,2,,Unknown,,2026,2,False,False
480504,Wirelane,47.967068037044925,7.829705507471772,Merzhausen,Baden-Württemberg,79249,,1,1,11.0,Slow (<22 kW),,2026,5,False,False
480134,Greimerather Forst Ladestation,49.56294330886689,6.683409472641529,Greimerath ,Rheinland-Pfalz,54314,,1,2,11.0,Slow (<22 kW),,2026,2,False,False
479861,Kaufland Ladestation,49.45464669077512,8.665175632424962,Dossenheim,,69221,,2,3,60.0,Fast (50-99 kW),,2026,5,False,False
479656,Hohenzollernstraße 5,48.645833726332086,9.011656861883123,Landkreis Böblingen,Landkreis Böblingen,71088,,1,1,150.0,Ultra-Fast (>=100 kW),,2026,5,False,False
479655,Tübinger Straße 107,48.63135730443577,9.017013873672228,Landkreis Böblingen,Landkreis Böblingen,71088,,1,1,22.0,Medium (22-49 kW),,2026,5,False,False
478921,Vöhrenbacher Straße 38,48.05824263086103,8.444356297770923,Villingen-Schwenningen,Baden-Württemberg,78050,,2,9,300.0,Ultra-Fast (>=100 kW),,2026,5,False,False
478803,Autohaus Frascoia,48.597206650285045,8.11280231001183,Kappelrodeck,,77876,,2,8,50.0,Fast (50-99 kW),,2026,5,False,False
478763,famila Parkplatz,52.99410152247072,8.819354218142962,Weyhe,,28844,,4,4,50.0,Fast (50-99 kW),,2026,4,False,False
478376,EnBW,50.9978080716036,9.733945966671511,Rotenburg an der Fulda,Hessen,36199 ,,1,4,150.0,Ultra-Fast (>=100 kW),,2026,4,False,False
478193,Knoppermühlweg,48.06226137086327,12.226378795181516,Wasserburg am Inn,Bayern,83512,,1,2,22.0,Medium (22-49 kW),,2026,1,False,False
478116,Pützerstraße,50.14461929363861,8.611891040867818,Frankfurt am Main,Hessen,60488,,2,2,,Unknown,,2026,5,False,False
477295,Hypercharger R-Werk,49.01401,12.11856,Regensburg,Bayern,93055,,1,2,150.0,Ultra-Fast (>=100 kW),,2026,1,False,False
475599,Gasthof zum Hirschen,47.58165859387222,9.849894830748552,Scheidegg,Bayern,88175,,1,3,22.0,Medium (22-49 kW),,2026,5,False,False
475441,Bregenzer Straße,47.55263001940145,9.704260479508548,Lindau (Bodensee),Bayern,88131,,5,9,,Unknown,,2026,5,False,False
475326,Arale Pulse,48.83898552676442,12.11882629077786,Schierling,,84069,,2,9,300.0,Ultra-Fast (>=100 kW),,2026,1,False,False
475137,LitchBlick,49.028236482569554,8.441456962979828,Karlsruhe,Baden-Württemberg,76139,,1,4,22.0,Medium (22-49 kW),,2026,5,False,False
475136,EnBW,49.02623880511706,8.445669838458628,Karlsruhe,Baden-Württenberg,76131,,1,2,22.0,Medium (22-49 kW),,2026,5,False,False
474885,Landal Sonnenberg ,49.80308233361646,6.891644947509462,Leiwen,,,,1,4,22.0,Medium (22-49 kW),,2026,2,False,False
474830,Polarstern Ladestation - sysTelios,49.5494181704124,8.817184050358833,Wald-Michelbach,Hessen,69483,,1,4,11.0,Slow (<22 kW),,2026,5,False,False
474829,Polarstern Ladestation - Sport Conrad Wielenbach,47.86888714647122,11.163822564198426,Wielenbach,Bayern,82407,,1,4,11.0,Slow (<22 kW),,2026,1,False,False
474828,Polarstern Ladestation - Sport Conrad Penzberg,47.74902961820726,11.374922560927644,Penzberg,Bayern,82377,,1,12,11.0,Slow (<22 kW),,2026,1,False,False
474827,Polarstern Ladestation - Hellmut Ruck,48.85425206219173,8.57996610990358,Neuenbürg,Baden-Württemberg,75305,,1,2,11.0,Slow (<22 kW),,2026,5,False,False
474826,Polarstern Ladestation - Neubrandenburg,53.52225440881324,13.265464269879658,Neubrandenburg,Mecklenburg-Vorpommern,17033,,1,4,11.0,Slow (<22 kW),,2026,3,False,False
474825,Polarstern Ladestation - Mammendorf,48.206917353899314,11.16278178550931,Mammendorf,Bayern,82291,,1,4,11.0,Slow (<22 kW),,2026,1,False,False
474822,Polarstern Ladestation - Am Alten Flughafen Gießen,50.59290527338933,8.719088415280112,Gießen,Hessen,35394,,1,12,11.0,Slow (<22 kW),,2026,5,False,False
474821,Polarstern Ladestation - ebl Fürth,49.482846970656,10.948729998645945,Fürth,Bayern,90766,,1,2,200.0,Ultra-Fast (>=100 kW),,2026,1,False,False
474820,Polarstern Ladestation - Harreshausen,49.96786707623701,8.979388718737596,Harreshausen,Hessen,64832,,1,2,22.0,Medium (22-49 kW),,2026,5,False,False
474818,Polarstern Ladestation - Harreshausen,49.9674174337128,8.979096690167353,Harreshausen,Hessen,64832,,1,2,22.0,Medium (22-49 kW),,2026,5,False,False
474817,Polarstern Ladestation - Harreshausen,49.96753416763971,8.979729571837993,Harreshausen,Hessen,64832,,1,2,22.0,Medium (22-49 kW),,2026,5,False,False
474816,Polarstern Ladestation - Harreshausen,49.96709297445455,8.979481171058183,Harreshausen,Hessen,64832,,1,2,22.0,Medium (22-49 kW),,2026,5,False,False
474815,Polarstern Ladestation - Harreshausen,49.96756076740121,8.978975223732277,Harreshausen,Hessen,64832,,1,2,22.0,Medium (22-49 kW),,2026,5,False,False
474814,Polarstern Ladestation - Harreshausen,49.96755292364784,8.97918836687984,Harreshausen,Hessen,64832,,1,2,22.0,Medium (22-49 kW),,2026,5,False,False
474454,Autohof Geiselwind,49.7690551457124,10.470820958412332,Geiselwind,Bayern,96160,,2,8,175.0,Ultra-Fast (>=100 kW),,2026,1,False,False
474443,Polarstern Ladestation - Esslingen,48.74108882613254,9.296563127089485,Esslingen am Neckar,Baden-Württemberg,73728,,2,3,22.0,Medium (22-49 kW),,2026,5,False,False
474442,Polarstern Ladestation - Eppstein,50.1400961365994,8.399639201397918,Eppstein,Hessen,65817,,2,4,11.0,Slow (<22 kW),,2026,5,False,False
474441,Polarstern Ladestation - Irlbacher,49.51045954977704,12.538845551760232,Schönsee,Bayern,92539,,2,4,11.0,Slow (<22 kW),,2026,1,False,False
474440,Polarstern Ladestation - Harreshausen,49.97363607080456,8.991704283283866,Harreshausen,Hessen,64832,,1,2,22.0,Medium (22-49 kW),,2026,5,False,False
474434,Polarstern Ladestation - Harreshausen,49.96753133174903,8.979158149850377,Harreshausen,Hessen,64832,,1,2,22.0,Medium (22-49 kW),,2026,5,False,False
472990,Lichtblick-Ladestation,48.49317327879544,9.711097035358192,Laichingen,Baden-Württemberg,89150,,2,6,300.0,Ultra-Fast (>=100 kW),,2026,5,False,False
472669,EZE Network-Ladestation,51.469737,7.212396,Bochum,Nordrhein-Westfalen,44789,,1,2,22.0,Medium (22-49 kW),,2026,2,False,False
472499,Rieder Straße 9,48.34855586293239,10.987466108653166,Friedberg,Bayern,86316,,1,4,22.0,Medium (22-49 kW),,2026,1,False,False
472477,See- und Waldresort Gröbern,51.69472012750572,12.450377843013058,Gröbern,Sachsen-Anhalt,06774,,1,1,7.2,Slow (<22 kW),,2026,3,False,False
472447,Gartenstraße 14,52.10922775479773,9.36037744020689,Hameln,Niedersachsen,31785,,1,1,11.07,Slow (<22 kW),,2026,4,False,False
472147,Stadtwerke Viernheim,49.53140407790849,8.576566423500253,Viernheim,Hessen,68519,,1,1,22.0,Medium (22-49 kW),,2025,5,False,False
472123,liebevoll in der Auermühle,51.30629847094053,6.879698355390246,Ratingen,NRW,40882,,1,6,22.0,Medium (22-49 kW),,2025,2,False,False
471743,Heidener Straße,51.8397601332012,6.882504376030738,Borken,Nordrhein-Westfalen,46325,,1,12,400.0,Ultra-Fast (>=100 kW),,2025,2,False,False
470965,Compleo-Ladestation Stadtwerke Lemgo,52.02967114433525,8.902035357749924,Lemgo,Nordrhein-Westfalen,32657,,2,2,50.0,Fast (50-99 kW),,2025,4,False,False
470841,Parkplatz LuxaPark,48.58576035454723,13.390525471876003,Passau,Bavaria,94469,,1,5,22.0,Medium (22-49 kW),,2025,1,False,False
470739,Stettiner Straße,50.81886460156116,7.180946186043002,Troisdorf,Nordrhein-Westfalen,53840,,1,2,22.0,Medium (22-49 kW),,2025,2,False,False
470738,Schanzenstraße,50.9688653056657,7.014650698631272,Köln,Nordrhein-Westfalen,51063,,2,6,125.0,Ultra-Fast (>=100 kW),,2025,2,False,False
470413,Bahnhof Leutkirch,47.82588156247911,10.016700731501714,Leutkirch,Baden-Württemberg,88299,,1,2,11.0,Slow (<22 kW),,2025,1,False,False
470410,Poststraße,47.825045350803805,10.020964392338785,Leutkirch,Baden-Württemberg,88299,,2,4,300.0,Ultra-Fast (>=100 kW),,2025,1,False,False
470319,An der Leibi,48.41604923114781,10.100087115301562,Nersingen,,,,1,10,300.0,Ultra-Fast (>=100 kW),,2025,1,False,False
470240,Gasthof Kapelle,47.57630416539919,9.609770415237335,Nonnenhorn,,,,1,2,22.0,Medium (22-49 kW),,2025,5,False,False
469464,SolarLoader+ Ladesation,53.078986,8.894786999999951, Bremen ,,28327 ,,1,2,50.0,Fast (50-99 kW),,2025,4,False,False
469463,SolarLoader+ Ladesation,53.074532,8.843299000000002, Bremen ,,28205 ,,1,2,50.0,Fast (50-99 kW),,2025,4,False,False
469462,SolarLoader+ Ladesation,53.045089,8.719673000000057, Bremen ,,28259 ,,1,2,50.0,Fast (50-99 kW),,2025,4,False,False
469461,SolarLoader+ Ladesation,53.052411,8.717419000000064, Bremen ,,28259 ,,1,2,50.0,Fast (50-99 kW),,2025,4,False,False
469460,SolarLoader+ Ladesation,53.06109150291712,8.800387351296195, Bremen ,,28201 ,,1,2,50.0,Fast (50-99 kW),,2025,4,False,False
464074,Eifel-Camp (PowerGo),50.416107177734375,6.717955112457275,Blankenheim,,53945,,2,2,12.7,Slow (<22 kW),,2025,2,False,False
463347,Gutshof Rethmar,52.31227001814384,10.002032773003409,Rethmar,Region Hannover,31319,,4,4,22.0,Medium (22-49 kW),,2025,0,False,False
462365,EweGo,48.644295,11.520099,Reichertshofen,Bayern,85084,,1,4,300.0,Ultra-Fast (>=100 kW),,2025,1,False,False
462348,Aldi Sud Lindau,47.55058677980449,9.722241839738103,Lindau,,88131,,2,3,150.0,Ultra-Fast (>=100 kW),,2025,5,False,False
462133,ALDI SÜD München-Mittelsendling,48.10140500464124,11.52542282578804,München,Bavaria,81379,,3,3,150.0,Ultra-Fast (>=100 kW),,2025,1,False,False
462105,Enbw,50.82024991056037,6.296469228653905,Eschweiler ,,52249,,2,6,200.0,Ultra-Fast (>=100 kW),,2025,2,False,False
